Datetime,Badger Pass: Snow Water Equivalent,Mount Lockhart: Snow Water Equivalent,GIBSON RESERVOIR; MONTANA: Inflow,Badger Pass: Precipitation,Mount Lockhart: Precipitation
1983-10-01,0.0,0.1,301.0,0.2,0.1
1983-10-02,0.0,0.2,267.0,0.0,0.1
1983-10-03,0.0,0.2,307.0,0.0,0.2
1983-10-04,0.0,0.2,408.0,0.5,0.1
1983-10-05,0.0,0.0,498.0,0.0,0.0
1983-10-06,0.0,0.0,327.0,0.0,0.0
1983-10-07,0.0,0.0,364.0,0.0,0.1
1983-10-08,0.0,0.0,157.0,0.0,0.0
1983-10-09,0.0,0.0,335.0,0.0,0.0
1983-10-10,0.2,0.0,303.0,0.4,0.2
1983-10-11,0.2,0.0,301.0,0.0,0.0
1983-10-12,0.1,0.0,266.0,0.0,0.0
1983-10-13,0.0,0.0,190.0,0.0,0.0
1983-10-14,0.0,0.0,57.0,0.0,0.0
1983-10-15,0.0,0.0,289.0,0.0,0.1
1983-10-16,0.0,0.0,290.0,0.4,0.0
1983-10-17,0.1,0.1,291.0,0.0,0.0
1983-10-18,0.1,0.2,259.0,0.0,0.0
1983-10-19,0.1,0.2,264.0,0.0,0.0
1983-10-20,0.1,0.2,164.0,0.0,0.0
1983-10-21,0.1,0.1,366.0,0.0,0.0
1983-10-22,0.1,0.1,335.0,0.0,0.0
1983-10-23,0.0,0.1,301.0,0.1,0.1
1983-10-24,0.0,0.2,337.0,0.0,0.0
1983-10-25,0.0,0.2,165.0,0.0,0.0
1983-10-26,0.0,0.2,165.0,0.0,0.0
1983-10-27,0.0,0.2,199.0,0.0,0.0
1983-10-28,0.0,0.0,304.0,0.0,0.0
1983-10-29,0.0,0.0,235.0,0.0,0.0
1983-10-30,0.0,0.0,235.0,0.0,0.0
1983-10-31,0.0,0.0,276.0,0.0,0.0
1983-11-01,0.0,0.0,241.0,0.0,0.0
1983-11-02,0.0,0.0,277.0,0.0,0.0
1983-11-03,0.0,0.0,277.0,0.0,0.1
1983-11-04,0.1,0.0,237.0,0.6,0.4
1983-11-05,0.1,0.0,274.0,0.0,0.0
1983-11-06,0.8,0.0,274.0,1.0,0.5
1983-11-07,1.0,0.5,239.0,0.1,0.2
1983-11-08,1.0,0.5,276.0,0.2,0.0
1983-11-09,1.0,0.5,277.0,0.0,0.0
1983-11-10,1.1,0.7,241.0,0.0,0.0
1983-11-11,1.5,0.8,241.0,0.2,0.3
1983-11-12,1.5,0.9,279.0,0.0,0.0
1983-11-13,1.5,0.9,243.0,0.0,0.1
1983-11-14,1.7,1.0,281.0,0.3,0.0
1983-11-15,1.7,1.0,282.0,0.0,0.0
1983-11-16,1.9,1.1,283.0,0.0,0.2
1983-11-17,1.9,1.1,284.0,0.2,0.1
1983-11-18,2.0,1.2,285.0,0.4,0.0
1983-11-19,2.4,1.2,246.0,0.1,0.2
1983-11-20,2.6,1.5,247.0,0.3,0.1
1983-11-21,2.8,1.6,287.0,0.2,0.1
1983-11-22,2.8,1.6,248.0,0.0,0.0
1983-11-23,2.8,1.6,165.0,0.0,0.1
1983-11-24,3.0,1.7,204.0,0.1,0.1
1983-11-25,3.2,1.9,205.0,0.0,0.0
1983-11-26,3.2,1.9,245.0,0.2,0.2
1983-11-27,3.2,2.0,205.0,0.1,0.0
1983-11-28,4.0,2.0,205.0,1.0,0.2
1983-11-29,4.2,2.1,206.0,0.2,0.3
1983-11-30,4.2,2.2,206.0,0.0,0.0
1983-12-01,4.2,2.3,170.0,0.0,0.0
1983-12-02,4.3,2.4,130.0,0.0,0.0
1983-12-03,4.4,2.5,211.0,0.0,0.0
1983-12-04,4.4,2.5,211.0,0.0,0.0
1983-12-05,4.4,2.6,212.0,0.0,0.0
1983-12-06,4.5,2.6,212.0,0.0,0.1
1983-12-07,4.6,2.7,212.0,0.4,0.7
1983-12-08,5.4,3.4,254.0,0.6,0.0
1983-12-09,5.8,3.4,213.0,0.1,0.1
1983-12-10,6.2,3.6,255.0,0.3,0.3
1983-12-11,6.3,3.9,255.0,0.1,0.0
1983-12-12,6.3,3.9,256.0,0.1,0.1
1983-12-13,6.7,3.9,214.0,0.2,0.2
1983-12-14,6.7,4.1,172.0,0.3,0.0
1983-12-15,6.8,4.1,214.0,0.2,0.5
1983-12-16,7.0,4.4,215.0,0.5,0.1
1983-12-17,7.2,4.4,172.0,0.0,0.1
1983-12-18,7.2,4.4,215.0,0.0,0.1
1983-12-19,7.2,4.4,173.0,0.2,0.0
1983-12-20,7.4,4.4,215.0,0.0,0.1
1983-12-21,7.4,4.4,173.0,0.0,0.1
1983-12-22,7.4,4.4,215.0,0.2,0.0
1983-12-23,7.5,4.4,130.0,0.1,0.0
1983-12-24,7.5,4.5,173.0,0.0,0.1
1983-12-25,7.5,4.5,173.0,0.0,0.0
1983-12-26,7.5,4.7,173.0,0.0,0.1
1983-12-27,7.5,4.8,130.0,0.2,0.1
1983-12-28,7.7,5.0,173.0,0.0,0.0
1983-12-29,7.7,5.0,130.0,0.0,0.0
1983-12-30,7.7,5.1,130.0,0.0,0.3
1983-12-31,7.9,5.3,216.0,0.0,0.0
1984-01-01,8.1,5.4,741.0,0.0,0.0
1984-01-02,8.1,5.4,174.0,0.1,0.1
1984-01-03,8.3,5.5,218.0,0.3,0.0
1984-01-04,8.4,5.5,263.0,0.2,0.0
1984-01-05,8.4,5.5,308.0,0.0,0.3
1984-01-06,8.4,5.5,264.0,0.4,0.7
1984-01-07,8.6,5.5,264.0,0.1,0.1
1984-01-08,8.6,5.5,265.0,0.2,0.1
1984-01-09,8.6,5.5,356.0,0.0,0.0
1984-01-10,8.6,5.5,267.0,0.1,0.1
1984-01-11,8.8,5.6,267.0,0.2,0.1
1984-01-12,9.0,5.7,268.0,0.5,0.2
1984-01-13,9.4,5.9,222.0,0.7,0.0
1984-01-14,9.9,5.9,176.0,0.0,0.0
1984-01-15,9.9,5.9,176.0,0.0,0.3
1984-01-16,9.9,5.9,130.0,0.5,0.4
1984-01-17,10.1,6.0,176.0,0.0,0.0
1984-01-18,10.1,6.0,222.0,0.0,0.0
1984-01-19,10.2,6.0,269.0,0.0,0.0
1984-01-20,10.2,6.2,223.0,0.0,0.0
1984-01-21,10.5,6.3,270.0,0.0,0.0
1984-01-22,10.7,6.3,224.0,0.1,0.2
1984-01-23,11.3,6.4,224.0,0.2,0.2
1984-01-24,12.0,6.6,271.0,0.6,0.6
1984-01-25,13.0,7.1,225.0,0.6,0.5
1984-01-26,13.2,7.9,224.0,0.2,0.3
1984-01-27,14.1,8.0,272.0,0.3,0.3
1984-01-28,14.4,8.3,225.0,0.5,0.4
1984-01-29,14.7,8.5,225.0,0.0,0.0
1984-01-30,14.7,8.5,225.0,0.0,0.0
1984-01-31,14.8,8.5,225.0,0.0,0.0
1984-02-01,14.8,8.6,226.0,0.0,0.0
1984-02-02,14.8,8.6,226.0,0.0,0.0
1984-02-03,14.8,8.6,178.0,0.0,0.0
1984-02-04,14.8,8.6,178.0,0.0,0.0
1984-02-05,14.9,8.6,226.0,0.0,0.0
1984-02-06,14.9,8.6,178.0,0.0,0.0
1984-02-07,14.9,8.6,226.0,0.0,0.0
1984-02-08,14.9,8.6,227.0,0.0,0.0
1984-02-09,15.0,8.6,226.0,0.2,0.0
1984-02-10,15.0,8.6,227.0,0.0,0.3
1984-02-11,15.2,8.7,179.0,0.2,0.0
1984-02-12,15.4,8.7,178.0,0.1,0.0
1984-02-13,15.7,8.8,227.0,0.2,0.2
1984-02-14,15.8,8.9,227.0,0.0,0.0
1984-02-15,15.9,9.1,178.0,0.2,0.0
1984-02-16,15.9,9.1,228.0,0.0,0.0
1984-02-17,15.9,9.1,179.0,0.0,0.0
1984-02-18,15.9,9.1,228.0,0.0,0.1
1984-02-19,16.0,9.1,179.0,0.0,0.0
1984-02-20,16.0,9.1,228.0,0.0,0.0
1984-02-21,16.1,9.2,179.0,0.1,0.0
1984-02-22,16.2,9.2,179.0,0.2,0.1
1984-02-23,16.4,9.3,179.0,0.0,0.2
1984-02-24,16.6,9.3,179.0,0.2,0.0
1984-02-25,16.6,9.4,179.0,0.1,0.2
1984-02-26,16.7,9.4,179.0,0.2,0.1
1984-02-27,16.9,9.5,229.0,0.0,0.0
1984-02-28,17.0,9.5,179.0,0.0,0.0
1984-02-29,17.0,9.6,179.0,0.0,0.4
1984-03-01,17.0,9.6,179.0,0.0,0.0
1984-03-02,17.0,9.6,229.0,0.2,0.0
1984-03-03,17.2,9.6,180.0,0.3,0.3
1984-03-04,17.4,9.7,229.0,0.0,0.0
1984-03-05,17.6,9.8,179.0,0.0,0.1
1984-03-06,17.7,9.9,180.0,0.2,0.0
1984-03-07,17.7,9.9,180.0,0.0,0.0
1984-03-08,17.8,10.0,179.0,0.1,0.1
1984-03-09,18.0,10.0,180.0,0.0,0.0
1984-03-10,18.3,10.1,180.0,0.2,0.0
1984-03-11,18.5,10.1,180.0,0.3,0.2
1984-03-12,19.2,10.2,230.0,1.0,0.4
1984-03-13,20.0,10.8,230.0,0.2,0.3
1984-03-14,20.3,11.1,180.0,0.3,0.2
1984-03-15,20.3,11.3,230.0,0.0,0.0
1984-03-16,20.4,11.4,180.0,0.0,0.0
1984-03-17,20.4,11.4,180.0,0.0,0.1
1984-03-18,20.5,11.4,180.0,0.2,0.1
1984-03-19,20.6,11.5,180.0,0.0,0.0
1984-03-20,20.9,11.5,180.0,0.0,0.0
1984-03-21,21.2,11.5,231.0,0.3,0.2
1984-03-22,21.2,11.7,181.0,0.0,0.1
1984-03-23,21.3,11.7,231.0,0.0,0.0
1984-03-24,21.5,11.7,231.0,0.4,0.2
1984-03-25,21.9,11.8,181.0,0.1,0.0
1984-03-26,21.9,11.8,231.0,0.2,0.2
1984-03-27,22.2,11.9,181.0,0.2,0.0
1984-03-28,22.2,12.0,181.0,0.0,0.2
1984-03-29,22.4,12.0,181.0,0.3,0.0
1984-03-30,22.8,12.1,181.0,0.0,0.0
1984-03-31,22.8,12.1,181.0,0.0,0.0
1984-04-01,22.9,12.1,181.0,0.0,0.0
1984-04-02,22.9,12.1,181.0,0.0,0.1
1984-04-03,23.0,12.2,181.0,0.0,0.0
1984-04-04,23.0,12.2,232.0,0.0,0.0
1984-04-05,23.0,12.2,233.0,0.0,0.0
1984-04-06,23.0,12.2,181.0,0.0,0.0
1984-04-07,23.0,12.2,233.0,0.0,0.0
1984-04-08,23.0,12.2,233.0,0.2,0.0
1984-04-09,23.1,12.2,181.0,0.1,0.0
1984-04-10,23.2,12.2,233.0,0.0,0.0
1984-04-11,23.2,12.3,398.0,0.2,0.2
1984-04-12,23.3,12.4,291.0,0.2,0.0
1984-04-13,23.3,12.4,120.0,0.0,0.0
1984-04-14,23.5,12.4,201.0,0.0,0.0
1984-04-15,23.3,12.4,229.0,0.0,0.0
1984-04-16,23.0,12.4,236.0,0.0,0.0
1984-04-17,22.6,12.3,309.0,0.1,0.2
1984-04-18,22.3,12.2,473.0,0.4,0.3
1984-04-19,23.6,12.1,687.0,2.2,1.5
1984-04-20,24.5,12.9,1031.0,0.2,0.0
1984-04-21,24.6,12.9,952.0,0.0,0.2
1984-04-22,24.8,12.9,944.0,0.4,0.6
1984-04-23,25.4,12.9,990.0,0.5,0.2
