Datetime,Jefferson River near Three Forks MT: Streamflow,Madison River bl Ennis Lake nr McAllister MT: Streamflow,Gallatin River at Logan MT: Streamflow
2014-10-01,1450.0,1900.0,887.0
2014-10-02,1480.0,1860.0,886.0
2014-10-03,1490.0,1680.0,836.0
2014-10-04,1480.0,1600.0,823.0
2014-10-05,1420.0,1520.0,795.0
2014-10-06,1380.0,1550.0,771.0
2014-10-07,1280.0,1630.0,762.0
2014-10-08,1240.0,1650.0,762.0
2014-10-09,1220.0,1640.0,750.0
2014-10-10,1250.0,1590.0,747.0
2014-10-11,1270.0,1530.0,748.0
2014-10-12,1260.0,1510.0,790.0
2014-10-13,1280.0,1500.0,843.0
2014-10-14,1300.0,1480.0,812.0
2014-10-15,1320.0,1490.0,799.0
2014-10-16,1330.0,1510.0,804.0
2014-10-17,1320.0,1460.0,797.0
2014-10-18,1320.0,1450.0,783.0
2014-10-19,1310.0,1440.0,768.0
2014-10-20,1290.0,1510.0,761.0
2014-10-21,1330.0,1360.0,759.0
2014-10-22,1410.0,1370.0,789.0
2014-10-23,1470.0,1390.0,785.0
2014-10-24,1510.0,1400.0,768.0
2014-10-25,1560.0,1400.0,787.0
2014-10-26,1620.0,1410.0,790.0
2014-10-27,1630.0,1460.0,803.0
2014-10-28,1630.0,1490.0,810.0
2014-10-29,1610.0,1450.0,802.0
2014-10-30,1570.0,1470.0,806.0
2014-10-31,1550.0,1540.0,801.0
2014-11-01,1540.0,1540.0,816.0
2014-11-02,1550.0,1530.0,853.0
2014-11-03,1530.0,1510.0,857.0
2014-11-04,1510.0,1480.0,843.0
2014-11-05,1520.0,1460.0,845.0
2014-11-06,1500.0,1420.0,845.0
2014-11-07,1480.0,1430.0,838.0
2014-11-08,1490.0,1420.0,847.0
2014-11-09,1520.0,1420.0,849.0
2014-11-10,1540.0,1470.0,847.0
2014-11-11,1500.0,1520.0,785.0
2014-11-12,919.0,1490.0,707.0
2014-11-13,781.0,1470.0,621.0
2014-11-14,833.0,1470.0,632.0
2014-11-15,834.0,1460.0,682.0
2014-11-16,784.0,1460.0,699.0
2014-11-17,949.0,1460.0,690.0
2014-11-18,1140.0,1450.0,727.0
2014-11-19,1320.0,1380.0,722.0
2014-11-20,1490.0,1370.0,754.0
2014-11-21,1560.0,1370.0,784.0
2014-11-22,1530.0,1400.0,810.0
2014-11-23,1490.0,1420.0,817.0
2014-11-24,1500.0,1420.0,786.0
2014-11-25,1520.0,1420.0,788.0
2014-11-26,1560.0,1420.0,826.0
2014-11-27,1670.0,1420.0,809.0
2014-11-28,1920.0,1480.0,870.0
2014-11-29,1850.0,1570.0,878.0
2014-11-30,1620.0,1420.0,752.0
2014-12-01,1300.0,1420.0,665.0
2014-12-02,1200.0,1410.0,748.0
2014-12-03,1400.0,1470.0,813.0
2014-12-04,1500.0,1560.0,805.0
2014-12-05,1600.0,1710.0,822.0
2014-12-06,1500.0,1720.0,810.0
2014-12-07,1500.0,1640.0,811.0
2014-12-08,1500.0,1600.0,800.0
2014-12-09,1500.0,1540.0,788.0
2014-12-10,1500.0,1520.0,783.0
2014-12-11,1500.0,1560.0,774.0
2014-12-12,1450.0,1600.0,776.0
2014-12-13,1440.0,1600.0,794.0
2014-12-14,1470.0,1610.0,807.0
2014-12-15,1440.0,1630.0,795.0
2014-12-16,1340.0,1670.0,725.0
2014-12-17,1370.0,1640.0,749.0
2014-12-18,1340.0,1640.0,758.0
2014-12-19,1320.0,1650.0,742.0
2014-12-20,1360.0,1660.0,769.0
2014-12-21,1370.0,1640.0,768.0
2014-12-22,1390.0,1640.0,779.0
2014-12-23,1360.0,1580.0,759.0
2014-12-24,1320.0,1560.0,741.0
2014-12-25,1360.0,1540.0,757.0
2014-12-26,1250.0,1520.0,747.0
2014-12-27,1220.0,1460.0,730.0
2014-12-28,1000.0,1420.0,703.0
2014-12-29,900.0,1420.0,603.0
2014-12-30,820.0,1410.0,496.0
2014-12-31,800.0,1410.0,484.0
