Datetime,Copper Bottom: Snow Water Equivalent,Copper Camp: Snow Water Equivalent,Waldron: Snow Water Equivalent,Wood Creek: Snow Water Equivalent,GIBSON RESERVOIR; MONTANA: Inflow
1989-10-01,0.0,0.0,0.0,0.0,405.57
1989-10-02,0.0,0.0,0.0,0.0,462.053
1989-10-03,0.0,0.0,0.0,0.0,405.563
1989-10-04,0.0,0.0,0.0,0.0,461.781
1989-10-05,0.0,0.0,0.0,0.0,461.781
1989-10-06,0.0,0.0,0.0,0.0,462.053
1989-10-07,0.0,0.0,0.0,0.0,405.563
1989-10-08,0.0,0.0,0.0,0.0,406.571
1989-10-09,0.0,0.0,0.0,0.0,406.843
1989-10-10,0.0,0.0,0.0,0.0,682.571
1989-10-11,0.0,0.0,0.0,0.0,216.613
1989-10-12,0.0,0.0,0.0,0.0,442.826
1989-10-13,0.0,0.0,0.0,0.0,500.542
1989-10-14,0.0,0.0,0.0,0.0,503.732
1989-10-15,0.0,0.0,0.0,0.0,453.262
1989-10-16,0.0,0.0,0.0,0.0,396.102
1989-10-17,0.0,0.0,0.0,0.0,405.982
1989-10-18,0.0,0.0,0.0,0.0,512.221
1989-10-19,0.0,0.0,0.0,0.0,411.006
1989-10-20,0.0,0.0,0.0,0.0,282.332
1989-10-21,0.0,0.0,0.0,0.0,338.552
1989-10-22,0.0,0.0,0.0,0.0,340.819
1989-10-23,0.0,0.0,0.0,0.0,402.107
1989-10-24,0.0,0.0,0.0,0.0,368.927
1989-10-25,0.0,0.0,0.0,0.0,369.282
1989-10-26,0.0,0.0,0.0,0.0,369.282
1989-10-27,0.0,0.0,0.0,0.0,347.718
1989-10-28,0.0,0.0,0.0,0.0,347.718
1989-10-29,0.0,0.0,0.0,0.0,348.073
1989-10-30,0.0,0.0,0.0,0.0,348.071
1989-10-31,0.0,0.0,0.0,0.0,347.822
1989-11-01,0.1,0.2,0.5,0.0,603.181
1989-11-02,0.2,0.3,0.6,0.0,92.962
1989-11-03,0.2,0.5,0.6,0.0,552.108
1989-11-04,0.3,1.7,0.7,0.0,418.903
1989-11-05,0.0,1.7,1.3,0.0,369.496
1989-11-06,0.0,2.0,1.3,0.0,431.611
1989-11-07,0.2,2.5,1.6,0.3,321.443
1989-11-08,0.3,2.6,2.0,0.6,312.827
1989-11-09,0.3,2.9,2.1,0.7,59.231
1989-11-10,0.0,2.6,2.1,0.5,59.233
1989-11-11,0.0,2.3,1.4,0.1,709.316
1989-11-12,0.0,2.1,0.8,0.1,3009.093
1989-11-13,0.0,2.1,0.8,0.1,2441.735
1989-11-14,0.0,2.5,0.8,0.3,1837.586
1989-11-15,0.2,2.7,1.2,0.5,1392.414
1989-11-16,0.3,3.0,1.3,0.5,1308.516
1989-11-17,0.3,3.0,1.3,0.5,979.945
1989-11-18,0.3,3.0,1.3,0.5,985.392
1989-11-19,0.2,3.2,1.3,0.5,991.19
1989-11-20,0.2,3.2,1.3,0.5,997.1
1989-11-21,0.0,3.2,1.3,0.5,856.141
1989-11-22,0.2,3.0,1.4,0.5,935.593
1989-11-23,0.2,2.8,1.4,0.4,838.285
1989-11-24,0.2,3.1,1.5,0.4,840.404
1989-11-25,0.2,3.1,1.6,0.4,667.975
1989-11-26,0.3,3.3,1.8,0.4,738.971
1989-11-27,0.5,3.5,2.0,0.5,689.305
1989-11-28,0.6,3.7,2.1,0.5,605.199
1989-11-29,0.6,3.8,2.1,0.5,656.475
1989-11-30,0.7,3.8,2.1,0.0,550.949
1989-12-01,0.8,3.8,2.1,0.0,757.051
1989-12-02,0.8,3.8,2.1,0.0,739.051
1989-12-03,0.9,4.1,2.1,0.0,781.326
1989-12-04,0.9,4.2,2.1,0.0,707.291
1989-12-05,0.6,4.3,2.1,0.3,662.029
1989-12-06,0.6,4.3,2.0,0.5,697.936
1989-12-07,0.7,4.6,2.0,0.5,626.029
1989-12-08,0.7,4.8,2.1,0.5,519.0
1989-12-09,0.9,5.4,2.4,0.5,572.645
1989-12-10,1.1,5.4,2.7,0.8,519.0
1989-12-11,1.2,5.4,2.9,0.9,569.769
1989-12-12,1.3,5.9,3.0,0.9,569.769
1989-12-13,1.3,5.9,3.0,0.9,569.521
1989-12-14,1.3,5.9,3.0,0.9,569.767
1989-12-15,1.4,5.9,3.0,1.0,519.0
1989-12-16,1.4,5.9,3.1,1.0,569.769
1989-12-17,1.5,5.9,3.2,1.0,569.769
1989-12-18,1.5,5.9,3.3,1.1,614.769
1989-12-19,1.6,6.2,3.4,1.1,450.925
1989-12-20,1.6,6.6,3.4,1.3,603.479
1989-12-21,2.0,6.6,3.8,1.7,603.231
1989-12-22,2.2,7.1,3.9,1.8,281.621
1989-12-23,2.2,7.5,4.0,1.9,233.828
1989-12-24,2.2,7.5,4.0,1.9,499.424
1989-12-25,2.2,7.5,4.0,1.9,425.199
1989-12-26,2.2,7.6,4.0,1.9,425.404
1989-12-27,2.2,7.6,4.0,1.9,670.397
1989-12-28,2.2,7.6,4.0,1.9,465.0
1989-12-29,2.2,7.6,4.0,2.0,516.525
1989-12-30,2.2,7.6,4.0,2.0,465.0
1989-12-31,2.2,7.7,4.1,2.0,516.525
1990-01-01,2.2,7.9,4.1,2.3,457.0
1990-01-02,2.2,7.9,4.1,2.3,457.0
1990-01-03,2.2,7.9,4.1,2.3,457.0
1990-01-04,2.2,8.4,4.2,2.3,405.475
1990-01-05,2.4,8.8,4.2,2.3,450.0
1990-01-06,2.4,9.0,4.2,2.5,398.475
1990-01-07,2.7,9.8,4.5,2.8,347.199
1990-01-08,3.6,11.0,4.8,3.0,398.475
1990-01-09,4.1,12.7,5.3,3.4,450.0
1990-01-10,4.6,13.3,5.7,4.0,450.0
1990-01-11,4.7,13.4,5.7,4.0,501.525
1990-01-12,4.7,13.7,5.7,4.0,501.525
1990-01-13,4.7,13.9,5.7,4.0,450.0
1990-01-14,4.7,14.2,5.7,4.0,398.475
1990-01-15,4.7,14.1,5.7,4.0,398.475
1990-01-16,4.7,14.0,5.7,4.0,450.0
1990-01-17,4.7,14.0,5.7,4.0,450.0
1990-01-18,4.8,14.0,5.7,4.0,398.929
1990-01-19,4.8,14.1,5.7,4.0,348.105
1990-01-20,4.8,14.4,5.7,4.0,347.857
1990-01-21,4.8,14.8,5.7,4.0,347.857
1990-01-22,4.8,15.0,5.7,4.0,297.035
1990-01-23,5.2,15.7,6.0,4.1,383.073
1990-01-24,5.5,16.2,6.4,4.3,433.893
1990-01-25,5.7,16.6,6.5,4.4,383.073
1990-01-26,6.1,17.7,7.0,4.7,434.143
1990-01-27,6.2,17.8,7.5,4.8,332.0
1990-01-28,6.8,18.8,7.8,5.0,383.071
1990-01-29,7.4,20.2,8.3,5.4,382.822
1990-01-30,8.0,21.3,8.9,5.8,383.073
1990-01-31,8.3,21.6,9.2,6.0,332.0
1990-02-01,8.3,21.8,9.6,6.1,332.0
1990-02-02,8.5,22.3,9.6,6.1,332.0
1990-02-03,8.6,22.7,9.8,6.2,332.0
1990-02-04,8.6,22.8,9.8,6.2,383.071
1990-02-05,8.7,22.9,9.9,6.2,332.0
1990-02-06,8.8,23.3,10.1,6.3,332.0
1990-02-07,9.0,23.6,10.3,6.4,332.0
1990-02-08,9.0,23.9,10.4,6.6,332.0
1990-02-09,9.2,24.4,10.5,6.7,383.525
1990-02-10,9.2,25.4,10.6,6.7,332.0
1990-02-11,9.2,26.2,10.7,6.8,383.525
1990-02-12,9.3,26.5,11.0,6.9,434.801
1990-02-13,9.5,26.5,11.1,7.0,332.0
