model,ADJ_R2,MSE,AIC
000101000110100,0.7841853450251313,620761174.6246884,565.9396831594688
010001000110100,0.7819877781307086,627082173.5710161,566.1726999391609
001001000110100,0.7805445838528817,631233323.4325477,566.3244532846594
000001000010100,0.7781916490755891,713060183.400343,565.1279293482022
000001100010100,0.7735423263337837,689690492.6659852,566.3615028794834
001001000010100,0.7731827062280174,690785737.370672,566.3979984495558
000101000010100,0.7718564431028653,694824951.6458267,566.5320941118125
010001000010100,0.770009449914835,700450080.7093745,566.7175466805377
000001010010100,0.7664459755007922,711302856.7908174,567.0711762152065
000001000110100,0.7652741677641943,714871667.8718461,567.186285305678
000011000010100,0.7601876052799461,730363100.4602964,567.6793769531475
000001000011100,0.7598364188383024,731432659.9326409,567.7130340110216
001001010010100,0.7595515087375906,691617016.8803811,568.4256596083158
000101010010100,0.7587503996044991,693921297.1273293,568.5021619958811
000001000010110,0.758475786112172,735576548.8988657,567.8429714362853
000001110010100,0.7576905539311543,696969797.448973,568.6029831456397
000101000111100,0.7573632997654832,656857504.9883659,569.2396588348554
000111000110100,0.7573539207821156,656882895.4408742,569.240547869565
010001010010100,0.7568086360462042,699506512.9572312,568.6865427741541
010011000110100,0.7529191445650978,668888564.9800521,569.6571173250943
001001100010100,0.7520055944637831,713321801.519642,569.1363663824259
000101000011100,0.7518653992117905,713725053.8813224,569.1493649809377
010001100010100,0.751207401684365,715617693.2763271,569.2102751182898
001011000110100,0.7508512451262426,674486709.3030683,569.8488106921293
000111000010100,0.7471215729080445,727370017.8383424,569.5849275698123
001011000010100,0.7469761576899439,727788284.7146441,569.5981496892243
010001000011100,0.7469397809062391,727892917.5301694,569.6014561202719
001001000011100,0.7462955836169065,729745862.4382098,569.6599311779152
000001010010110,0.7452307575024901,732808688.3136494,569.7562627616887
000001100011100,0.7449114405743559,733727159.5426275,569.7850719327148
000101100010100,0.7441581741624878,735893826.781657,569.8528899389448
000001001001000,0.7439850575838247,984618372.4169369,695.277969036432
000101001110100,0.7438398866377152,693467611.3632337,570.487119677347
000111100111100,0.7437087827534307,607094714.7721771,571.4276661378589
010011000010100,0.7418500636148183,742532789.3437767,570.0594570605789
000011000110100,0.7417949998164535,742691172.7869967,570.064362474578
000011100010100,0.741688297302446,742998087.8940288,570.0738651986657
010001000111100,0.7414218250239801,700013702.3584169,570.703213282533
000001100110100,0.7412711723364682,744197890.4925863,570.1109759307478
010001001110100,0.7405249234390258,702441762.6507956,570.7828528060896
000001101001000,0.740122840204052,957827556.3575859,696.505550705513
000001000111100,0.7362053441408807,758769048.6074321,570.55695664866
001001000111100,0.7360502509947786,714555437.8472006,571.1761087941841
001001000010110,0.7354366086487127,760980210.5285234,570.6238844787154
000001100010110,0.7303847048524963,775511317.0235639,571.0589346018357
000001001010100,0.7303731174205403,821164920.0119965,570.374566584878
001001110010100,0.7293220023656936,732769914.8952755,571.7550457834648
010001001010100,0.7283059792818503,781490485.2459764,571.2355837809532
001101000110100,0.7278263242445868,736818961.8776418,571.881786421912
000101001010100,0.727626623256395,783444559.4231865,571.2930222408907
001001001110100,0.7275000536172711,737702230.1960882,571.9093413649855
010001110010100,0.7274957164152005,737713971.7163442,571.9097074379156
000011000011100,0.7262310922811718,787458612.3497852,571.410564072758
001001010010110,0.7259056274407977,742018604.426179,572.0435246332783
000001010110100,0.725156484649172,790549573.4153274,571.5006677820681
000111000111100,0.7241059370225833,700209996.3390117,572.709661911545
000101010011100,0.7232435036546871,749225411.914183,572.2658328013126
010001100111100,0.7232279747616686,702438235.48583,572.7827373160915
000011000001000,0.7222555114599107,1068188925.5103066,697.55901069425
000001010011100,0.721853634163125,800049768.6062754,571.7754158998808
001001001010100,0.7218501182890957,800059881.534392,571.7757066266403
000001000001000,0.7217859952085603,1114577768.0496016,696.7493194891968
000001000001010,0.7216743567144359,1070424012.3931715,697.6175369047637
001001100011100,0.7214055901269916,754200946.5015706,572.4180686759405
000001110011100,0.7209311434846446,755485351.6943583,572.4572043912171
000101100111100,0.720484543635006,709400972.8438784,573.0095963756961
100001000001000,0.7200451180087977,1076689968.385757,697.7809630362439
010001100011100,0.719735808224168,758721321.0924848,572.5555098746098
000101110010100,0.7196706430972744,758897733.8223907,572.5608570568199
000011000001010,0.7190755274947458,1035401499.8164024,698.6861009665986
010101000110100,0.7189489313295527,760851526.4292307,572.6199947789294
010011100111100,0.718830832513635,666024834.4508967,573.5584354132343
001001010011100,0.7184467905477527,762210904.218194,572.6610511359364
000011000010110,0.7173521914095843,812997549.6154896,572.1446615580174
010001010011100,0.7162798244346977,768077238.342586,572.8373922341283
001001100010110,0.7159870331848803,768869872.4727552,572.8611153492333
010001100110100,0.7154508442029726,770321424.346473,572.9044961857307
100011000001000,0.7154194972935692,1048876506.5323144,699.048150025044
001001100111100,0.715270467089151,722634126.4669898,573.4346853938926
010001101110100,0.7148583463841387,723680075.1700304,573.4679517814266
011001000110100,0.714612551724171,772590820.1367384,572.9721554333688
000000010001000,0.7144717841128121,1143879876.9935925,697.4759260688222
001001100110100,0.7140020516583016,774243544.352303,573.0213044208697
000101000010110,0.7138415717494385,823095364.2617952,572.4285729226463
000101100110100,0.7137725159118741,774864935.4178684,573.0397563181527
000001001011100,0.7132965577731503,824663022.0102786,572.4723367892351
100001000010100,0.7130852634744738,873816121.0606059,571.8039245721166
010001000010110,0.7129147040152388,825761371.8295875,572.5029495815179
000101011010100,0.7126118286066073,778007107.0954106,573.1328355226703
010001011010100,0.7125009794793256,778307193.9376154,573.1417051930855
001101000010100,0.7123963924499546,827252223.7651289,572.5444369642063
000001011010100,0.7120499319201251,828248769.8313959,572.5721271466722
000111000011100,0.711870719952089,780013410.2690927,573.1920709409294
000000111001000,0.7115561753551771,1063115527.0548499,699.4257069563478
000111001110100,0.7107849022695166,734018341.4516798,573.7941977436835
001011100010100,0.7098200883932995,785564807.5970937,573.3551834219625
100001101001000,0.7092540584209936,1025009101.6526362,700.4036430758988
100001100010100,0.7090730654776274,836811316.7527852,572.8086835530505
011001000010100,0.7088566015216176,837433945.5525404,572.8257903215473
000011110010100,0.7077775055785764,791094415.6494383,573.5165137903568
000001001110100,0.7075824212451363,841098949.8832436,572.9262295012551
000001001001001,0.7075349390596388,1077936571.4956777,699.8133629815027
000011001001000,0.706950273414787,1080091469.857405,699.8692817861022
000101101110100,0.7067115478079868,744356380.1967496,574.1158736537012
001001011010100,0.7062156326746585,795322662.8098421,573.6391170027013
000001101001010,0.7056114638571973,1037850871.8979723,700.7522602544186
010011000111100,0.7053636730241639,747777241.7668055,574.2213333160273
001011000011100,0.7051624826276871,798173713.4199246,573.7214193348325
000101100011100,0.7050925139093044,798363130.2630472,573.7268768818093
000001001001010,0.7048236108498953,1087929696.2306917,700.0717441034672
000011001010100,0.7046897429364154,849419341.2159915,573.1526340860868
010011100010100,0.7045924406178904,799716911.0150609,573.7658448482944
010011001110100,0.7045919161942672,749735935.0464101,574.2814996929494
000011100011100,0.7039453533186855,801468682.8964564,573.8161710184779
001001000011110,0.7039177717139005,801543350.8427526,573.8183136883143
000011010010100,0.7038297154030991,851893092.1382964,573.2195192862348
001011000010110,0.7037954836185732,801874404.8552277,573.8278112036912
000001111001000,0.7034421542278595,1045498655.7407943,700.9578320095585
000101010010110,0.7032568717593084,803332515.8569516,573.8695959254375
000111100010100,0.7027411203810863,804728739.7718244,573.9095361428882
000001001010110,0.702161309745281,856692031.5616565,573.3487208056154
010101000010100,0.7019412377914631,857325038.2709076,573.3657091486499
000001110110100,0.7019322735597432,806918421.3182341,573.9720345703015
010001010010110,0.7019210523498549,806948798.9813122,573.9729004237522
000010010001000,0.700989887963984,1149975259.5319874,699.6247332973735
000001101010100,0.7002850439730777,862088852.0176007,573.493157225172
000001100111100,0.6999640871667756,812246626.0052708,574.1234078356252
010011000011100,0.6997557679034296,812810580.5572007,574.1393715262113
010001100010110,0.6997015312210341,812957408.1881515,574.1435259142229
001011000111100,0.6996235115453406,762345581.5298882,574.6651147153524
100001000001010,0.6994446671388348,1107754834.0557914,700.5773895522476
001101010010100,0.6990104294486996,814828334.4966195,574.1963969069036
000001010011110,0.6983306462482091,816668619.5671616,574.2482837026074
000011101001000,0.6981150187997875,1064279183.7504213,701.4563382167904
100001010010100,0.6971769283976399,871028919.0195508,573.7304444635715
000001100011110,0.6971141176769488,819961962.7476981,574.3408482632481
000011100110100,0.696816948730276,820766448.0241741,574.3634030781952
010001110011100,0.6963404952023298,770677768.3001004,574.9151333244375
000111001010100,0.6954062062440997,824585560.2555691,574.4701762654927
001001110011100,0.6953615076697317,773162406.2412673,574.9891652390468
000111101110100,0.6937436505600231,725450575.7470304,575.5241531094532
000001101001001,0.6935371030542334,1080418378.2661145,701.8777551892869
100001001001000,0.693405982493468,1130011574.7483063,701.1343818166939
001011001110100,0.6928651382769341,779498109.0995587,575.1768714028901
101001000010100,0.6927344092788252,883807214.2970853,574.0654113366256
000111100110100,0.6926928737103738,779935310.8654062,575.1897679340908
010001101010100,0.6925993728242517,832184120.5529081,574.681150807427
000001101011100,0.6925078495514745,832431889.124384,574.6879976443587
001001101110100,0.6922343071294257,781099137.6636409,575.2240631686954
000011000111100,0.6921443098970216,833416050.8367608,574.715173860717
100011000001001,0.6919096412417636,1086155906.9184978,702.0260549073383
010011001010100,0.6911972873462635,835979796.8374995,574.7858176261917
000001000000000,0.6899708298250449,1291716733.0028093,698.8792210577336
000000011001000,0.6899457022877349,1192450546.414039,700.6402945213879
001111000010100,0.6892052188399578,841372654.3382534,574.9337127806222
101001100010100,0.6889926522445596,841948107.1174996,574.9494381429433
100001110010100,0.6882234874318462,844030362.9317081,575.0062501472813
000101100010110,0.6881204911186063,844309190.9130996,575.013847012042
000011100010110,0.6876114260433283,845687313.9048014,575.0513581379463
100001000011100,0.686285907024105,902355444.1875725,574.5431109694448
